ID;DATUM;TYZDEN;C_1;C_2;C_3;C_4;C_5;C_6;DODAT;E_1;E_2;E_3;E_4;E_5;E_6;E_7;E_8;E_9;E_10;E_11;E_12;E_13;E_14;JACKPOT1;VKLAD1;NA_VYHRY1;PREDP_SUMA1;SUMA_VYHRY1;NASLED_ZREB
161;5.6.1960;23;36;21;39;25;32;14;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;12.6.1960
162;12.6.1960;24;28;46;23;13;45;18;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;19.6.1960
163;19.6.1960;25;10;43;29;3;18;21;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;26.6.1960
164;26.6.1960;26;17;8;32;21;47;13;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;3.7.1960
165;3.7.1960;27;32;39;46;4;3;40;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;10.7.1960
166;10.7.1960;28;8;30;7;40;5;44;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;17.7.1960
167;17.7.1960;29;21;47;4;2;14;40;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;24.7.1960
168;24.7.1960;30;11;2;1;19;6;45;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;31.7.1960
169;31.7.1960;31;35;14;19;44;22;43;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;7.8.1960
170;7.8.1960;32;18;19;43;32;27;30;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;14.8.1960
171;14.8.1960;33;41;8;39;12;28;9;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;21.8.1960
172;21.8.1960;34;16;13;46;44;38;36;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;28.8.1960
173;28.8.1960;35;34;15;40;29;13;47;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;4.9.1960
174;4.9.1960;36;13;16;28;12;2;8;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;11.9.1960
